consumer_id,service_type,region,tenure_months,new_customer_price,renewal_price,is_anomaly
CONS_00191,subscription,North East,15,10.1,10.2,False
CONS_00192,broadband,London,88,32.9,36.77,False
CONS_00193,broadband,South East,17,24.91,26.7,False
CONS_00194,subscription,North West,32,11.88,12.55,False
CONS_00195,broadband,London,7,22.5,22.57,False
CONS_00196,broadband,South West,18,36.93,39.51,False
CONS_00197,mobile,London,17,22.85,27.36,False
CONS_00198,subscription,Midlands,16,15.94,16.79,False
CONS_00199,broadband,Wales,93,31.85,32.64,False
CONS_00200,broadband,Midlands,8,26.57,28.03,False
CONS_00201,subscription,Wales,21,7.24,7.6,False
CONS_00202,subscription,Midlands,21,10.07,10.09,False
CONS_00203,mobile,North West,19,27.54,27.17,False
CONS_00204,broadband,North West,7,34.49,38.46,False
CONS_00205,broadband,Midlands,11,30.04,34.62,False
CONS_00206,broadband,Scotland,54,41.15,52.96,True
CONS_00207,broadband,North West,93,32.74,41.07,False
CONS_00208,mobile,South East,39,24.85,26.98,False
CONS_00209,broadband,South East,8,21.56,22.78,False
CONS_00210,mobile,South East,5,13.84,15.57,False
CONS_00211,mobile,London,10,16.34,15.91,False
CONS_00212,mobile,North West,7,21.42,23.6,False
CONS_00213,broadband,London,5,25.02,28.45,False
CONS_00214,subscription,Scotland,38,11.81,15.55,True
CONS_00215,mobile,Midlands,2,24.38,27.69,False
CONS_00216,mobile,Scotland,22,24.59,29.4,False
CONS_00217,broadband,Midlands,116,25.26,25.2,False
CONS_00218,broadband,London,6,30.46,30.65,False
CONS_00219,subscription,London,1,13.61,14.0,False
CONS_00220,broadband,Midlands,5,26.89,25.75,False
CONS_00221,broadband,Midlands,17,22.74,24.85,False
CONS_00222,mobile,Midlands,67,21.93,24.22,False
CONS_00223,mobile,Wales,23,25.78,28.22,False
CONS_00224,subscription,Midlands,9,16.52,17.5,False
CONS_00225,broadband,Midlands,76,32.24,36.57,False
CONS_00226,subscription,Midlands,42,8.42,10.28,True
CONS_00227,broadband,Midlands,7,35.05,38.41,False
CONS_00228,mobile,London,22,24.18,24.12,False
CONS_00229,mobile,London,12,21.35,17.66,False
CONS_00230,broadband,South East,23,28.01,28.55,False
CONS_00231,broadband,Scotland,4,29.85,31.34,False
CONS_00232,mobile,Midlands,58,24.72,34.04,True
CONS_00233,subscription,South East,14,17.29,18.17,False
CONS_00234,mobile,South East,10,19.05,19.66,False
CONS_00235,subscription,Midlands,15,14.06,14.1,False
CONS_00236,subscription,South East,14,11.79,11.53,False
CONS_00237,mobile,Midlands,12,25.26,24.34,False
CONS_00238,subscription,London,106,8.87,9.61,False
CONS_00239,broadband,South East,40,23.49,26.82,False
CONS_00240,broadband,North West,46,25.72,24.36,False
CONS_00241,subscription,South East,71,10.92,11.37,False
CONS_00242,subscription,London,1,15.8,17.61,False
CONS_00243,broadband,South East,5,25.93,26.73,False
CONS_00244,mobile,South East,47,18.24,20.21,False
CONS_00245,mobile,South East,3,24.45,27.89,False
CONS_00246,subscription,Midlands,5,12.54,13.55,False
CONS_00247,mobile,London,2,24.31,24.46,False
CONS_00248,mobile,North West,53,20.57,26.48,True
CONS_00249,broadband,London,23,32.04,37.25,False
CONS_00250,mobile,North East,23,25.25,25.87,False
CONS_00251,mobile,Midlands,22,30.82,31.58,False
CONS_00252,subscription,North East,8,11.95,13.03,False
CONS_00253,mobile,South West,24,17.56,17.94,False
CONS_00254,broadband,South East,20,30.13,30.98,False
CONS_00255,broadband,Midlands,22,26.75,27.17,False
CONS_00256,mobile,South East,6,27.08,27.94,False
CONS_00257,subscription,South West,44,9.95,10.58,False
CONS_00258,broadband,North West,7,26.53,23.72,False
CONS_00259,broadband,South East,21,19.17,19.91,False
CONS_00260,mobile,South West,2,27.88,25.34,False
CONS_00261,broadband,South West,38,39.65,40.17,False
CONS_00262,subscription,North East,12,14.77,15.88,False
CONS_00263,broadband,London,17,18.72,19.09,False
CONS_00264,broadband,South East,13,31.16,34.5,False
CONS_00265,subscription,South East,14,12.04,12.96,False
CONS_00266,broadband,North West,11,28.82,25.39,False
CONS_00267,broadband,North West,14,27.1,31.21,False
CONS_00268,broadband,South East,9,28.55,30.48,False
CONS_00269,broadband,Midlands,8,24.99,24.99,False
CONS_00270,broadband,South East,8,32.66,32.92,False
CONS_00271,broadband,Midlands,47,21.9,19.41,False
CONS_00272,broadband,South West,8,30.57,32.56,False
CONS_00273,broadband,Scotland,18,24.92,27.48,False
CONS_00274,mobile,South East,13,20.99,20.81,False
CONS_00275,mobile,London,46,26.19,25.5,False
CONS_00276,broadband,London,9,26.22,27.75,False
CONS_00277,broadband,Midlands,15,26.37,30.36,False
CONS_00278,mobile,North West,11,20.77,23.72,False
CONS_00279,subscription,London,12,11.8,13.2,False
CONS_00280,subscription,North East,30,12.19,14.99,False
CONS_00281,broadband,Midlands,17,27.66,31.17,False
CONS_00282,broadband,South West,5,31.68,36.37,False
CONS_00283,broadband,North West,4,28.39,29.92,False
CONS_00284,broadband,North East,12,34.58,35.2,False
CONS_00285,mobile,London,62,28.94,33.16,False
CONS_00286,mobile,London,23,12.04,11.65,False
CONS_00287,broadband,South West,44,35.37,38.29,False
CONS_00288,broadband,South West,24,30.46,30.37,False
CONS_00289,mobile,North West,18,30.16,32.43,False
CONS_00290,broadband,London,12,32.86,35.14,False
CONS_00291,subscription,South East,25,10.73,11.38,False
CONS_00292,broadband,Midlands,26,43.18,50.41,True
CONS_00293,subscription,South West,23,10.32,10.79,False
CONS_00294,broadband,South East,20,21.46,23.44,False
CONS_00295,subscription,London,21,8.77,9.7,False
CONS_00296,subscription,Wales,19,10.8,10.11,False
CONS_00297,subscription,Midlands,15,8.22,8.57,False
CONS_00298,subscription,North West,102,13.94,18.8,True
CONS_00299,subscription,Scotland,28,10.68,10.81,False
CONS_00300,mobile,North East,13,17.21,18.29,False
CONS_00301,subscription,South East,8,11.38,11.52,False
CONS_00302,broadband,Scotland,30,35.6,41.26,False
CONS_00303,mobile,Wales,14,22.4,23.32,False
CONS_00304,mobile,Scotland,118,18.37,27.01,True
CONS_00305,subscription,South West,22,12.36,14.0,False
CONS_00306,mobile,Scotland,106,30.51,29.59,False
CONS_00307,broadband,North West,6,39.16,40.08,False
CONS_00308,mobile,London,6,20.89,20.82,False
CONS_00309,broadband,Midlands,100,31.24,33.74,False
CONS_00310,broadband,London,2,42.13,40.11,False
CONS_00311,mobile,London,18,19.5,17.81,False
CONS_00312,mobile,North West,4,28.09,27.97,False
CONS_00313,broadband,Scotland,14,41.03,44.91,False
CONS_00314,broadband,North East,4,26.71,26.21,False
CONS_00315,broadband,Midlands,11,27.13,29.0,False
CONS_00316,broadband,South West,3,31.86,31.67,False
CONS_00317,broadband,South East,54,25.19,34.97,True
CONS_00318,mobile,North West,56,25.79,23.47,False
CONS_00319,broadband,North East,1,49.64,55.61,False
CONS_00320,subscription,North West,13,10.35,11.41,False
CONS_00321,subscription,Midlands,21,9.5,9.91,False
CONS_00322,mobile,Scotland,120,20.41,21.44,False
CONS_00323,broadband,South East,19,33.58,34.57,False
CONS_00324,mobile,Scotland,9,17.67,17.03,False
CONS_00325,subscription,South East,42,13.12,19.39,True
CONS_00326,mobile,London,42,17.15,19.92,False
CONS_00327,subscription,South East,22,19.29,20.03,False
CONS_00328,mobile,London,1,29.06,31.31,False
CONS_00329,mobile,South East,10,24.08,24.22,False
CONS_00330,broadband,South West,38,28.87,33.82,True
CONS_00331,mobile,North West,1,22.82,24.74,False
CONS_00332,broadband,South West,12,21.47,24.62,False
CONS_00333,mobile,Scotland,4,24.47,25.95,False
CONS_00334,subscription,London,8,15.38,16.57,False
CONS_00335,broadband,London,2,30.11,33.8,False
CONS_00336,mobile,North East,8,14.32,15.86,False
CONS_00337,broadband,Scotland,42,22.47,25.56,False
CONS_00338,mobile,South West,2,20.45,21.96,False
CONS_00339,broadband,South East,41,33.38,43.37,True
CONS_00340,subscription,Midlands,17,16.75,17.99,False
CONS_00341,broadband,Midlands,16,17.2,18.35,False
CONS_00342,subscription,North East,2,9.23,10.35,False
CONS_00343,subscription,London,56,11.92,15.6,True
CONS_00344,mobile,North East,6,20.57,20.8,False
CONS_00345,subscription,North West,50,11.9,12.99,False
CONS_00346,subscription,South West,8,17.34,21.8,False
CONS_00347,subscription,Scotland,28,15.41,16.6,False
CONS_00348,broadband,Scotland,16,37.9,36.05,False
CONS_00349,mobile,South East,22,27.25,27.87,False
CONS_00350,broadband,Midlands,17,26.24,28.86,False
CONS_00351,mobile,South East,7,15.91,15.78,False
CONS_00352,broadband,North West,9,20.28,19.63,False
CONS_00353,mobile,Scotland,10,27.68,25.95,False
CONS_00354,mobile,Midlands,8,32.57,33.53,False
CONS_00355,mobile,North West,20,15.06,17.93,False
CONS_00356,mobile,Midlands,12,22.04,22.11,False
CONS_00357,subscription,North West,4,12.0,13.47,False
CONS_00358,subscription,Wales,34,7.34,9.3,True
CONS_00359,mobile,Midlands,6,24.51,25.09,False
CONS_00360,mobile,Midlands,33,26.6,26.99,False
CONS_00361,subscription,Midlands,8,9.53,10.4,False
CONS_00362,broadband,Scotland,10,28.51,26.4,False
CONS_00363,broadband,London,96,28.7,34.32,False
CONS_00364,broadband,Midlands,15,28.23,30.84,False
CONS_00365,mobile,London,23,13.66,15.55,False
CONS_00366,mobile,South East,41,23.65,29.51,True
CONS_00367,subscription,Midlands,7,14.43,14.8,False
CONS_00368,mobile,North West,9,20.93,22.79,False
CONS_00369,broadband,North West,1,37.87,42.7,False
CONS_00370,subscription,North East,2,11.57,12.02,False
CONS_00371,subscription,South East,18,12.15,11.86,False
CONS_00372,broadband,London,10,30.91,30.0,False
CONS_00373,broadband,London,17,33.63,34.03,False
CONS_00374,broadband,South East,23,27.19,28.98,False
CONS_00375,broadband,Midlands,14,31.2,32.23,False
CONS_00376,broadband,Midlands,18,21.92,22.06,False
CONS_00377,subscription,Scotland,44,14.36,15.87,False
CONS_00378,mobile,South East,105,20.64,29.68,True
CONS_00379,broadband,Scotland,64,30.14,30.41,False
CONS_00380,mobile,London,4,34.59,34.52,False
CONS_00381,mobile,Midlands,84,20.95,23.64,False
CONS_00382,subscription,Wales,22,16.19,17.71,False
CONS_00383,subscription,London,21,10.41,9.88,False
CONS_00384,mobile,Midlands,3,24.24,22.81,False
CONS_00385,broadband,Midlands,20,24.52,23.49,False
CONS_00386,subscription,South East,11,14.29,14.92,False
CONS_00387,mobile,Wales,5,21.39,24.6,False
CONS_00388,subscription,Scotland,5,18.09,21.25,False
CONS_00389,broadband,London,22,37.41,41.57,False
CONS_00390,subscription,London,6,17.34,21.14,False
CONS_00391,mobile,Midlands,7,23.16,24.63,False
CONS_00392,broadband,North East,47,29.04,39.51,True
CONS_00393,mobile,Scotland,17,24.8,28.36,False
CONS_00394,mobile,Scotland,90,26.72,34.14,True
CONS_00395,broadband,Wales,3,32.73,32.73,False
CONS_00396,mobile,North West,16,18.52,17.12,False
CONS_00397,subscription,London,19,11.02,11.25,False
CONS_00398,broadband,North West,42,30.17,38.44,True
CONS_00399,mobile,South West,12,22.71,23.53,False
CONS_00400,mobile,Midlands,6,22.89,29.45,False
CONS_00401,broadband,South West,6,41.3,43.23,False
CONS_00402,subscription,London,12,13.34,12.87,False
CONS_00403,subscription,North West,19,14.83,16.77,False
CONS_00404,broadband,Scotland,12,20.83,20.52,False
CONS_00405,subscription,South East,23,12.52,13.26,False
CONS_00406,subscription,South East,43,11.76,14.8,True
CONS_00407,broadband,Midlands,16,27.95,31.38,False
CONS_00408,subscription,Midlands,80,8.35,8.11,False
CONS_00409,broadband,Wales,80,23.53,27.8,False
CONS_00410,subscription,South East,5,10.2,11.68,False
CONS_00411,mobile,North West,9,15.3,16.47,False
CONS_00412,mobile,London,18,17.81,21.44,False
CONS_00413,broadband,London,14,18.85,19.14,False
CONS_00414,subscription,North West,27,10.61,11.83,False
CONS_00415,broadband,South East,11,23.22,24.85,False
CONS_00416,broadband,North East,5,36.3,36.11,False
CONS_00417,broadband,North West,3,28.43,28.35,False
CONS_00418,subscription,London,17,9.31,11.46,False
CONS_00419,broadband,London,17,27.35,31.15,False
CONS_00420,subscription,Midlands,5,12.78,14.36,False
CONS_00421,mobile,London,11,26.71,26.59,False
CONS_00422,broadband,London,46,33.47,43.34,True
CONS_00423,broadband,North West,54,29.28,32.43,False
CONS_00424,broadband,South East,18,32.4,32.93,False
CONS_00425,mobile,Wales,78,19.85,23.79,False
CONS_00426,subscription,North West,88,15.23,17.56,False
CONS_00427,broadband,London,1,30.54,34.4,False
CONS_00428,subscription,Midlands,16,11.31,12.64,False
CONS_00429,broadband,North West,8,31.94,33.2,False
CONS_00430,subscription,Wales,14,7.49,8.15,False
CONS_00431,subscription,London,8,12.13,14.36,False
CONS_00432,subscription,Wales,3,13.28,14.43,False
CONS_00433,mobile,South East,115,38.97,38.14,False
CONS_00434,subscription,North West,1,13.07,15.12,False
CONS_00435,broadband,South East,15,26.1,25.87,False
CONS_00436,broadband,North East,46,35.39,36.95,False
CONS_00437,broadband,South East,106,22.35,22.52,False
CONS_00438,mobile,South West,89,27.14,23.06,False
CONS_00439,mobile,South West,14,24.25,25.74,False
CONS_00440,mobile,North West,19,30.6,38.1,False
CONS_00441,subscription,South East,3,10.55,11.33,False
CONS_00442,broadband,North West,18,28.11,37.28,False
CONS_00443,mobile,North East,16,26.03,26.91,False
CONS_00444,broadband,Wales,2,35.75,38.09,False
CONS_00445,broadband,Scotland,12,27.72,28.77,False
CONS_00446,mobile,London,1,22.87,24.05,False
CONS_00447,subscription,South West,5,9.43,10.17,False
CONS_00448,mobile,London,9,16.1,19.01,False
CONS_00449,broadband,London,59,26.2,34.99,True
CONS_00450,mobile,South East,15,25.42,24.88,False
CONS_00451,broadband,North West,39,45.55,47.71,False
CONS_00452,subscription,South West,19,15.3,16.82,False
CONS_00453,mobile,Midlands,23,29.85,34.61,False
CONS_00454,broadband,London,15,38.17,33.63,False
CONS_00455,broadband,South East,18,29.44,27.56,False
CONS_00456,broadband,Midlands,15,23.48,24.66,False
CONS_00457,subscription,Scotland,1,13.52,15.47,False
CONS_00458,mobile,London,40,19.28,19.42,False
CONS_00459,subscription,North West,16,10.65,11.76,False
CONS_00460,mobile,Wales,2,14.71,18.03,False
CONS_00461,mobile,North East,61,17.37,18.2,False
CONS_00462,broadband,Wales,3,18.91,19.43,False
CONS_00463,subscription,London,7,8.81,9.58,False
CONS_00464,broadband,Midlands,15,33.04,35.08,False
CONS_00465,mobile,South East,11,32.32,34.52,False
CONS_00466,mobile,South West,42,22.35,30.51,True
CONS_00467,mobile,North West,65,30.26,31.22,False
CONS_00468,subscription,London,15,13.12,13.45,False
CONS_00469,broadband,North West,5,37.0,35.74,False
CONS_00470,mobile,South East,10,22.06,24.25,False
CONS_00471,mobile,South East,25,19.7,18.98,False
CONS_00472,mobile,Scotland,13,35.1,34.42,False
CONS_00473,broadband,Midlands,11,31.0,29.49,False
CONS_00474,broadband,South West,2,20.2,20.6,False
CONS_00475,broadband,North West,39,29.55,30.99,False
CONS_00476,broadband,London,1,25.91,24.84,False
CONS_00477,mobile,North West,30,20.24,25.62,True
CONS_00478,mobile,North West,9,20.8,21.31,False
CONS_00479,mobile,London,22,24.3,25.76,False
CONS_00480,mobile,South West,41,20.61,24.18,True
CONS_00481,mobile,North East,14,26.06,24.06,False
CONS_00482,broadband,London,3,29.56,29.12,False
CONS_00483,mobile,Midlands,13,24.22,29.28,False
CONS_00484,broadband,Wales,23,42.47,42.01,False
CONS_00485,broadband,South East,47,33.58,39.3,True
CONS_00486,mobile,Wales,48,24.43,27.06,False
CONS_00487,mobile,London,21,19.18,19.28,False
CONS_00488,broadband,London,3,32.16,34.2,False
CONS_00489,mobile,North East,13,15.25,14.98,False
CONS_00490,mobile,Wales,2,18.3,16.45,False
CONS_00491,mobile,South East,23,18.65,18.84,False
CONS_00492,mobile,North West,117,23.42,25.39,False
CONS_00493,mobile,North East,24,18.37,20.3,False
CONS_00494,broadband,North West,9,28.34,30.0,False
CONS_00495,subscription,South West,14,10.13,9.96,False
CONS_00496,mobile,South West,2,15.92,17.93,False
CONS_00497,mobile,South East,99,17.08,16.88,False
CONS_00498,mobile,Midlands,11,23.92,23.75,False
CONS_00499,broadband,Wales,9,31.12,30.12,False
CONS_00500,mobile,Midlands,1,25.54,25.84,False
CONS_00501,mobile,South East,70,19.65,26.99,True
CONS_00502,subscription,London,1,13.62,13.92,False
CONS_00503,subscription,London,10,12.93,13.85,False
CONS_00504,mobile,Wales,1,20.12,18.9,False
CONS_00505,mobile,Midlands,117,25.13,25.35,False
CONS_00506,subscription,Midlands,7,20.15,19.78,False
CONS_00507,broadband,Scotland,19,24.69,26.74,False
CONS_00508,subscription,London,23,12.24,13.12,False
CONS_00509,mobile,London,4,22.78,21.96,False
CONS_00510,broadband,Midlands,5,32.02,34.86,False
CONS_00511,broadband,Scotland,12,27.5,28.66,False
CONS_00512,subscription,Midlands,13,19.79,22.07,False
CONS_00513,broadband,London,7,24.2,24.06,False
CONS_00514,broadband,North West,10,33.76,37.04,False
CONS_00515,broadband,South West,120,18.17,20.38,False
CONS_00516,broadband,London,13,25.6,26.94,False
CONS_00517,broadband,London,22,32.4,40.1,False
CONS_00518,mobile,Wales,13,28.5,31.02,False
CONS_00519,broadband,Scotland,48,36.69,45.96,True
CONS_00520,subscription,North East,36,12.7,15.3,False
CONS_00521,subscription,South West,3,10.68,13.67,False
CONS_00522,broadband,Midlands,11,31.48,28.83,False
CONS_00523,broadband,London,4,24.95,28.63,False
CONS_00524,mobile,North West,16,21.22,23.15,False
CONS_00525,broadband,South West,2,28.31,30.21,False
CONS_00526,broadband,North West,30,30.35,30.13,False
CONS_00527,subscription,North East,31,9.76,9.51,False
CONS_00528,subscription,Wales,23,10.17,9.79,False
